[2026-08-13T08:33:02.861Z] AUDIT [Trace: 74a1f55100ac468ebd78d00654cd087d] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: INSTITUTE (inst-207c8afc3ded41c4a4df25365db13f1c) | Status: SUCCESS | Msg: Institute provisioned successfully | Details: {subdomain=stanford, planId=plan-enterprise-plus}
[2026-08-13T09:24:17.026Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: AUTHORIZE | Entity: ROLE_ASSIGNMENT (assign-25bb9474045a4c609bb94b5163d4a6b9) | Status: SUCCESS | Msg: Platform role granted to staff member | Details: {roleId=role-super-admin, staffId=staff-99}
[2026-08-13T09:24:17.056Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: AUTHORIZE | Entity: ROLE_ASSIGNMENT (assign-5547b20e0fbc4ecf9abd40cef0831638) | Status: SUCCESS | Msg: Platform role granted to staff member | Details: {roleId=role-super-admin, staffId=staff-revoke-test}
[2026-08-13T09:24:17.080Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: GOVERNANCE_POLICY (pol-dc7efdb4eef7495296fc01ce6278cb72) | Status: SUCCESS | Msg: Data governance policy created | Details: {policyName=Data Residency EU-Central, policyType=residency}
[2026-08-13T09:24:17.153Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: BILLING_ACCOUNT (inst-101) | Status: SUCCESS | Msg: Subscription plan updated | Details: {newPlanId=plan-enterprise-v2}
[2026-08-13T09:24:17.300Z] AUDIT [Trace: 69b5b8f0daf24935a26a8f8225627be9] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: BILLING_ACCOUNT (inst-101) | Status: FAILURE | Msg: Settlement failed during plan change | Details: {targetPlanId=plan-invalid}
[2026-08-13T09:25:42.156Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: INSTITUTE (inst-7519e54c03684cc294b9bf7b2703f326) | Status: SUCCESS | Msg: Institute provisioned successfully | Details: {subdomain=stanford, planId=plan-enterprise-plus}
[2026-08-13T09:25:42.459Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: PLATFORM_CONFIG (mfa_required) | Status: SUCCESS | Msg: Global platform config updated | Details: {newValue=false, previousValue=true}
[2026-08-13T09:25:42.508Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: PLATFORM_ROLE (role-a892ec287bf548b597c04c8354a7ed6a) | Status: SUCCESS | Msg: Platform role created | Details: {roleName=Support Ops Manager}
[2026-08-13T09:25:42.544Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: AUTHORIZE | Entity: ROLE_ASSIGNMENT (assign-fa8367a629114e7f980a87921e10dde6) | Status: SUCCESS | Msg: Platform role granted to staff member | Details: {roleId=role-super-admin, staffId=staff-99}
[2026-08-13T09:25:42.577Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: AUTHORIZE | Entity: ROLE_ASSIGNMENT (assign-e60783bc2cdf4a8ea4b1d9be507eda2f) | Status: SUCCESS | Msg: Platform role granted to staff member | Details: {roleId=role-super-admin, staffId=staff-revoke-test}
[2026-08-13T09:25:42.605Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: CREATE | Entity: GOVERNANCE_POLICY (pol-e1e91865ddd740cdb7769398aa13c33d) | Status: SUCCESS | Msg: Data governance policy created | Details: {policyName=Data Residency EU-Central, policyType=residency}
[2026-08-13T09:25:42.701Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: BILLING_ACCOUNT (inst-101) | Status: SUCCESS | Msg: Subscription plan updated | Details: {newPlanId=plan-enterprise-v2}
[2026-08-13T09:25:42.860Z] AUDIT [Trace: 44e40085f4244ec6847d8fadcc5aa189] [Actor: SYSTEM_ACTOR] [IP: UNKNOWN_SOURCE] Action: UPDATE | Entity: BILLING_ACCOUNT (inst-101) | Status: FAILURE | Msg: Settlement failed during plan change | Details: {targetPlanId=plan-invalid}
